Artikelnummer,Produktname,Preis_1,Preis_2,Ab_Menge_2,Preis_3,Ab_Menge_3,Preis_4,Ab_Menge_4
8425-SH,Papiertragetasche Spargel & Erdbeere & Kartoffel,34.06,31.99,,28.79,,25.18,
1347,Zellulose-Netz WTC 80/39,34.41,29.86,,25.1,,,
8395-OSH,"1,5 kg Papiertragetasche Kartoffeln",34.77,33.32,,32.32,,29.71,
1305,Beerenobstschale 500 g PET,34.9,33.21,,32.36,,28.98,
1318,Beerenobstschalen 500 g Papierfaser,35.03,32.6,,31.17,,28.99,
1324-SH,Beerenobstschale Premium Holzschliff 500 g neutral,35.17,33.19,,32.2,,30.71,
8358-OSH,"1,5 kg  Papiertragetasche Kartoffeln NEU",35.6,33.54,,22.7,,20.59,
1292-SH,Papiertragetasche unbedruckt nassfest - NEU!,36.02,30.86,,25.7,,24.46,
1292-SP,Papiertragetasche für drei Beerenobstschalen,36.02,22.9,,20.9,,19.5,
8380-OSH,"2,5 kg Papiertragetasche Kartoffeln",36.64,33.95,,26.83,,23.94,
8380-RESH,"2,5 kg Papiertragetasche Kartoffeln neutral",36.64,33.95,,31.89,,28.38,
8396-OSH,"2,5 kg Papiertragetasche Kartoffeln",36.64,33.95,,31.89,,29.26,
8396-RESH,"2,5 kg Papiertragetasche Kartoffeln Regional",36.64,33.95,,31.89,,29.26,
8375-SH,"Bodenbeutel 1,5 kg",36.75,34.18,,31.14,,29.85,
83855,Beerenobstschalen 500 g Papierfaser,37.02,34.46,,32.94,,30.64,
8130,Traubenkorb Alu,37.2,33.88,,32.54,,31.89,
1445-G-L,"Arbeitsweste - Grün, Gr. L",37.32,36.68,,36.29,,36.03,
8840-KS,Kantenschutz 1200 x 50 x 50 x 3 mm weiß,37.46,35.74,,,,,
4069,Damast-Schwalbenschwanz Anschweiß Messerspitzen,38.52,34.53,,31.75,,30.41,
9161-L,"Regenlatzhose,  Flexothane Gr. L",39.26,37.85,,35.27,,32.57,
